,State,Site Name,City,Zip,County,Latitude,Longitude,State Name,zip,population,Year
1142,UT,Five Points Pce Plume,Woods Cross/Bountiful,84010,DAVIS,40.874243,-111.885892,Utah,84010,46666.0,2007
1143,UT,Hill Air Force Base,Hill Afb,84056,,41.128547,-111.990643,Utah,84056,3644.0,1987
1144,UT,Jacobs Smelter,Stockton,84071,TOOELE,40.422185,-112.385736,Utah,84071,2339.0,2000
1145,UT,Monticello Mill Tailings (Usdoe),Monticello,84535,SAN JUAN,37.863079,-109.33324,Utah,84535,2669.0,1989
1146,UT,Ogden Defense Depot (Dla),Ogden,84407,WEBER,41.259092,-111.999567,Utah,,,1987
1147,UT,Portland Cement (Kiln Dust 2 & 3),Salt Lake City,84116,SALT LAKE,40.747464,-111.943991,Utah,84116,37136.0,1986
1148,UT,Tooele Army Depot (North Area),Tooele,84074,TOOELE,40.526461,-112.410368,Utah,84074,57470.0,1990
1149,UT,Us Magnesium,Tooele County,84029,TOOELE,40.915581,-112.734253,Utah,84029,14159.0,2009
1150,UT,Utah Power & Light/American Barrel Co.,Salt Lake City,84104,SALT LAKE,40.770342,-111.90658,Utah,84104,24057.0,1989
1151,UT,Wasatch Chemical Co. (Lot 6),Salt Lake City,84104,SALT LAKE,40.729002,-111.909924,Utah,84104,24057.0,1991
1152,WY,F.E. Warren Air Force Base,Cheyenne,82005,LARAMIE,41.152742,-104.862334,Wyoming,82005,477.0,1990
1153,AZ,Apache Powder Co.,Saint David,85630,COCHISE,31.88,-110.24,Arizona,85630,1942.0,1990
1154,AZ,Hassayampa Landfill,Arlington,85322,MARICOPA,33.368331,-112.7483,Arizona,85322,493.0,1987
1155,AZ,Indian Bend Wash Area,Scottsdale,85253,MARICOPA,33.466669,-111.9083,Arizona,85253,17202.0,1983
1156,AZ,Iron King Mine - Humboldt Smelter,Dewey-Humboldt,86327,YAVAPAI,34.5,-112.25,Arizona,86327,12081.0,2008
1157,AZ,Lukachukai Mountains Mining District,Cove,86544,APACHE,36.558867,-109.217117,Arizona,86544,1587.0,2024
1158,AZ,"Motorola, Inc. (52Nd Street Plant)",Phoenix,85008,MARICOPA,33.461669,-111.9708,Arizona,85008,60499.0,1989
1159,AZ,Phoenix-Goodyear Airport Area,Goodyear,85338,MARICOPA,33.429719,-112.3653,Arizona,85338,64448.0,1983
1160,AZ,Tucson International Airport Area,Tucson,85734,PIMA,32.105561,-110.9333,Arizona,85734,5028.0,1983
1161,AZ,Williams Air Force Base,Chandler,85224,MARICOPA,33.30695,-111.6519,Arizona,85224,48304.0,1989
1162,AZ,Yuma Marine Corps Air Station,Yuma,85369,YUMA,32.654581,-114.5888,Arizona,,,1990
1163,CA,"Advanced Micro Devices, Inc.",Sunnyvale,94086,SANTA CLARA,37.3825,-122.0086,California,94086,48956.0,1986
1164,CA,"Advanced Micro Devices, Inc. (Building 915)",Sunnyvale,94086,SANTA CLARA,37.3868,-122.0066,California,94086,48956.0,1990
1165,CA,Aerojet General Corp.,Rancho Cordova,95670,SACRAMENTO,38.608331,-121.2,California,95670,59314.0,1983
1166,CA,Afterthought Mine,Bella Vista,96008,SHASTA,40.734547,-122.072396,California,96008,1086.0,2024
