Region,State,Site Name,Site ID,,EPA ID,Address,City,Zip,County,FF Ind,NAI,Native American Entity,,Latitude,Longitude,NPL Status
,,,,,,,,,,,,(NAI Status),,,,Date
1,RI,STAMINA MILLS,101291,,RID980731442,School Street,NORTH SMITHFIELD (FORESTDALE),2824,PROVIDENCE,N,N,,,41.9964,-71.5647,09/08/83
1,RI,WEST KINGSTON TOWN DUMP/URI DISPOSAL AREA,101322,,RID981063993,PLAINS ROAD,SOUTH KINGSTOWN,2881,WASHINGTON,N,N,,,41.496667,-71.535278,10/14/92
1,RI,WESTERN SAND & GRAVEL,101233,,RID009764929,DOUGLAS PIKE,BURRILLVILLE,2895,PROVIDENCE,N,N,,,41.9727,-71.595,09/08/83
1,VT,BENNINGTON MUNICIPAL SANITARY LANDFILL,101493,,VTD981064223,OFF HOUGHTON LANE,BENNINGTON,5201,BENNINGTON,N,N,,,42.922219,-73.197781,03/31/89
1,VT,BFI SANITARY LANDFILL (ROCKINGHAM),101475,,VTD980520092,RTE 5,ROCKINGHAM,5101,WINDHAM,N,N,,,43.226389,-72.439719,10/04/89
1,VT,BURGESS BROTHERS LANDFILL,101450,,VTD003965415,RTE 9,WOODFORD,5201,BENNINGTON,N,N,,,42.878061,-73.150139,03/31/89
1,VT,COMMERCE STREET PLUME,101470,,VTD098352545,96 COMMERCE STREET (FORMLY 15 COMMERCE STREET),WILLISTON,5495,CHITTENDEN,N,N,,,44.452583,-73.121389,04/27/05
1,VT,ELIZABETH MINE,102071,,VTD988366621,MINE ROAD,STRAFFORD,5070,ORANGE,N,Y,Abenaki of Mazipskwik & Related Bands (Current),,43.823889,-72.328889,06/14/01
1,VT,ELY COPPER MINE,102065,,VTD988366571,TOWN HIGHWAY 38,VERSHIRE,5079,ORANGE,N,N,,,43.927447,-72.285506,09/13/01
1,VT,"JARD COMPANY, INC.",102282,,VTD048141741,259 BOWEN ROAD,BENNINGTON,5201,BENNINGTON,N,N,,,42.888861,-73.189111,09/22/14
1,VT,OLD SPRINGFIELD LANDFILL,101437,,VTD000860239,WILL DEAN RD,SPRINGFIELD,5156,WINDSOR,N,N,,,43.272781,-72.466669,09/08/83
1,VT,PARKER SANITARY LANDFILL,101491,,VTD981062441,LILY POND RD.,LYNDON,5849,CALEDONIA,N,N,,,44.518611,-71.989439,02/21/90
1,VT,PIKE HILL COPPER MINE,102121,,VTD988366720,PIKE HILL ROAD,CORINTH,5039,ORANGE,N,N,,,44.057333,-72.306917,07/22/04
1,VT,PINE STREET CANAL,101479,,VTD980523062,PINE STREET,BURLINGTON,5401,CHITTENDEN,N,N,,,44.466669,-73.218061,09/08/83
1,VT,POWNAL TANNERY,101463,,VTD069910354,ROUTE 346,POWNAL,5261,BENNINGTON,N,N,,,42.797167,-73.26575,01/19/99
